日付,勘定科目,品目,金額
2022/5/31,商品売上高（4111）,キティちゃんグッズ,1100
2022/5/31,商品売上高（4111）,佐賀限定鬼滅の刃キーホルダー,880
2022/5/31,商品売上高（4111）,ローソク・線香・マッチ・のし袋・ライター・紙コップ類,185
2022/5/31,商品売上高（4111）,アルミ保温保冷バッグ,1600
2022/5/31,商品売上高（4111）,レジ袋,14125
2022/5/31,商品売上高（4111）,あったか銀紙,1500
2022/5/31,商品売上高（4111）,紙袋,120340
2022/5/31,手数料収入（4112）,風のふるさと館委託販売手数料,2469571
2022/5/31,その他の収入（4114）,バーコードラベル代金,35725
2022/5/31,その他の収入（4114）,コカ・コーラ自販機手数料,78191
2022/5/31,その他の収入（4114）,アルミ缶売却料,10000
2022/5/31,その他の収入（4114）,テナント使用料,45250
2022/5/31,その他の収入（4114）,テナント電気料,27905
2022/5/31,その他の収入（4114）,カーワックス店頭実演販売借地料,4500
2022/5/31,商品仕入高（5211）,野菜・・・辻青果,265610
2022/5/31,商品仕入高（5211）,温泉たまご,46332
2022/5/31,商品仕入高（5211）,ドリンク類（トライアル）・・・5月6日,3910
2022/5/31,商品仕入高（5211）,ドリンク類（トライアル）・・・5月16日,2258
2022/5/31,商品仕入高（5211）,ドリンク類（トライアル）・・・5月30日,3591
2022/5/31,商品仕入高（5211）,オロナミンC・・・5月13日,7009
2022/5/31,商品仕入高（5211）,伊藤園お茶ほか・・・5月23日,14515
2022/5/31,商品仕入高（5211）,粉末うどんそばスープ・・・5月6日,3067
2022/5/31,商品仕入高（5211）,粉末うどんそばスープ・・・5月10日,2425
2022/5/31,商品仕入高（5211）,佐賀県産たまねぎポテトチップほか・・・5月13日,18144
2022/5/31,商品仕入高（5211）,佐賀県産たまねぎポテトチップほか・・・5月31日,18144
2022/5/31,商品仕入高（5211）,黒糖ドーナツ棒,23263
2022/5/31,商品仕入高（5211）,天ぷら・ちくわほか,18316
2022/5/31,商品仕入高（5211）,わさびドレッシングほか・・・5月27日,16848
2022/5/31,商品仕入高（5211）,ジャージーミックスほか,818991
2022/5/31,商品仕入高（5211）,ミルン牛乳・ヨーグルトほか,42955
2022/5/31,商品仕入高（5211）,明太トーストほか・・・5月10日,32482
2022/5/31,商品仕入高（5211）,博多しょうが湯ほか,11178
2022/5/31,商品仕入高（5211）,博多しょうが湯ほか,1349038
2022/5/31,商品仕入高（5211）,野菜等袋代・・・アサヒ,44660
2022/5/31,商品仕入高（5211）,クロネコヤマト宅急便他運賃料,11814
2022/5/31,商品仕入高（5211）,ソフトクリーム用スプーン,6380
2022/5/31,商品仕入高（5211）,指定ごみ袋,34200
2022/5/31,商品仕入高（5211）,粗大ごみ処理券,6320
2022/5/31,商品仕入高（5211）,チオビタドリンクほか,4790
2022/5/31,商品仕入高（5211）,チオビタドリンクほか,108164
2022/5/31,販売員給与（6111）,パート（９名）,935340
2022/5/31,役員報酬（6211）,役員給与（１名）,164900
2022/5/31,従業員給与（6212）,従業員給与（１名）,186800
2022/5/31,従業員賞与（6213）,従業員賞与（１名）,0
2022/5/31,販売員賞与（6213）,パート賞与（９名）,0
2022/5/31,法定福利費（6312）,唐津社会保険事務所社会保険料,111280
2022/5/31,法定福利費（6312）,労働・労災保険料,0
2022/5/31,厚生費（6226）,職員用マスク代,1760
2022/5/31,事務用消耗品費（6217）,電子複写機コピー代,1386
2022/5/31,事務用消耗品費（6217）,コピー用紙代,2420
2022/5/31,通信交通費（6218）,ＮＴＴファイナンス通話料,10942
2022/5/31,水道光熱費（6219）,電気料金・・・電灯,135657
2022/5/31,水道光熱費（6219）,電気料金・・・電力,119603
2022/5/31,租税公課費（6221）,消費税及び地方消費税（中間申告）,0
2022/5/31,接待交際費（6223）,役員草刈り作業弁当・お茶代,3840
2022/5/31,接待交際費（6223）,株主総会飲み物代,420
2022/5/31,接待交際費（6223）,役員会議食事代,20400
2022/5/31,接待交際費（6223）,役員会飲み物代,750
2022/5/31,保険料（6224）,賠償責任（施設・生産物）保険料,65730
2022/5/31,備品・消耗品費（6225）,トイレットペーパー代・・・5月10日,6600
2022/5/31,備品・消耗品費（6225）,トイレットペーパー代・・・5月20日,6600
2022/5/31,備品・消耗品費（6225）,トイレットペーパー代・・・5月27日,6600
2022/5/31,備品・消耗品費（6225）,歩道飾り用プランター代,808
2022/5/31,備品・消耗品費（6225）,発泡スチロール代,1056
2022/5/31,備品・消耗品費（6225）,液晶テレビ・壁掛け金具・長期保証代,55118
2022/5/31,備品・消耗品費（6225）,ブルーレイプレーヤー・長期保証代,12058
2022/5/31,備品・消耗品費（6225）,半透明ごみ袋代,29700
2022/5/31,備品・消耗品費（6225）,消毒液代,7106
2022/5/31,備品・消耗品費（6225）,消毒液運送費,880
2022/5/31,運営管理諸費（6227A）,東芝テックポスレジシステムリース料,46358
2022/5/31,運営管理諸費（6227A）,くすもと税理士事務所顧問報酬,262460
2022/5/31,施設管理諸費（6227B）,中央警備保障機械警備料,37400
2022/5/31,施設管理諸費（6227B）,クリーン・リース代,2222
2022/5/31,施設管理諸費（6227B）,塵芥収集運搬料,62800
2022/5/31,施設管理諸費（6227B）,衛生害虫駆除業務,10395
2022/5/31,施設管理諸費（6227B）,空調点検前期,80300
2022/5/31,車両費（6228）,ガソリン代・・・福地石油・・・5月16日,3000
2022/5/31,車両費（6228）,ガソリン代・・・福地商事・・・5月30日,3000
2022/5/31,車両費（6228）,ハイゼット軽自動車税,5000
2022/5/31,リース料（6234）,ソフトサーバーリース代,15510
2022/5/31,会費（6313）,令和４年度唐津法人会年間会費,6000
2022/5/31,雑費(6231),コカ・コーラ振込手数料・・・5月18日分,660
2022/5/31,雑費(6231),振込手数料（道の駅ネットワーク）,220
2022/5/31,雑費(6231),振込手数料（やまや）・・・5月10日,220
2022/5/31,雑費(6231),振込手数料（牛津かまぼこ）,220
2022/5/31,雑費(6231),通帳残高証明書発行手数料,550
2022/5/31,雑費(6231),振込手数料（スタンプブック）,220
2022/5/31,受取利息割引料,預金利息,0
2022/5/31,雑収入（7118）,雇用保険料預り（４月分）,2226
2022/6/30,商品売上高（4111）,野菜等,205790
2022/6/30,商品売上高（4111）,温泉たまご,91400
2022/6/30,商品売上高（4111）,道の駅茶の道,1650
2022/6/30,商品売上高（4111）,あら塩・灘の塩（食塩）,8765
2022/6/30,商品売上高（4111）,コーヒー自動販売機,22050
2022/6/30,商品売上高（4111）,ドリンク類,11250
2022/6/30,商品売上高（4111）,伊藤園お～いお茶・健康ミネラル麦茶ほか,41340
2022/6/30,商品売上高（4111）,黒糖・嬉野茶ドーナツ棒,21315
2022/6/30,商品売上高（4111）,白菜浅漬け・なす・きゅうりからし漬けの素,7180
2022/6/30,商品売上高（4111）,佐賀県産たまねぎスープ・海苔スープ・たまねぎチップ・佐賀牛ポテトチップ・黒糖くるみ,52460
2022/6/30,商品売上高（4111）,粉末うどん・ちゃんぽんスープ,2040
2022/6/30,商品売上高（4111）,天ぷら・ちくわほか,19300
2022/6/30,商品売上高（4111）,わさびドレッシング・こいくち醬油・カレー,13885
2022/6/30,商品売上高（4111）,やまや（明太高菜ほか）,24190
2022/6/30,商品売上高（4111）,ミルン（ヨーグルト・チーズ・牛乳・シュークリーム）,57385
2022/6/30,商品売上高（4111）,ソフトクリーム・コーン,800240
2022/6/30,商品売上高（4111）,シンセイ商事（しょうが湯ほか）,7265
2022/6/30,商品売上高（4111）,キムチたけのこほか,14040
2022/6/30,商品売上高（4111）,キムチたけのこほか,1401545
2022/6/30,商品売上高（4111）,野菜袋（アサヒ）,38535
2022/6/30,商品売上高（4111）,中島潔グッズ,6145
2022/6/30,商品売上高（4111）,クロネコヤマト宅急便,17070
2022/6/30,商品売上高（4111）,道の駅切符,1260
2022/6/30,商品売上高（4111）,連絡線記念指定券,800
2022/6/30,商品売上高（4111）,道の駅スタンプブック,2520
2022/6/30,商品売上高（4111）,指定ごみ袋,24800
2022/6/30,商品売上高（4111）,粗大ごみ処理券,210
2022/6/30,商品売上高（4111）,エスカップ・チオビタ（トライアル）,1900
2022/6/30,商品売上高（4111）,ソフトクリーム用カップ・スプーン,330
2022/6/30,商品売上高（4111）,キティちゃんグッズ,550
2022/6/30,商品売上高（4111）,佐賀限定鬼滅の刃キーホルダー,2200
2022/6/30,商品売上高（4111）,ローソク・線香・マッチ・のし袋・ライター・紙コップ類,190
2022/6/30,商品売上高（4111）,アルミ保温保冷バッグ,320
2022/6/30,商品売上高（4111）,レジ袋,17185
2022/6/30,商品売上高（4111）,箱,140
2022/6/30,商品売上高（4111）,紙袋,114155
2022/6/30,手数料収入（4112）,風のふるさと館委託販売手数料,2207523
2022/6/30,その他の収入（4114）,バーコードラベル代金,33625
2022/6/30,その他の収入（4114）,コカ・コーラ自販機手数料,99038
2022/6/30,その他の収入（4114）,佐賀富士ベンディング自販機手数料,175494
2022/6/30,その他の収入（4114）,テナント使用料,45250
2022/6/30,その他の収入（4114）,テナント電気料,30923
2022/6/30,その他の収入（4114）,テナント水道料,37532
2022/6/30,その他の収入（4114）,カーワックス店頭実演販売借地料,4500
2022/6/30,商品仕入高（5211）,野菜・・・辻青果,142300
2022/6/30,商品仕入高（5211）,温泉たまご,42768
2022/6/30,商品仕入高（5211）,九州あら塩 ・・・九州ソルト佐賀支店,6739
2022/6/30,商品仕入高（5211）,ドリンク類（トライアル）・・・6月20日,2155
2022/6/30,商品仕入高（5211）,ドリンク類（トライアル）・・・6月30日,1904
2022/6/30,商品仕入高（5211）,伊藤園お茶ほか・・・6月20日,11664
2022/6/30,商品仕入高（5211）,粉末うどんそばスープ・・・6月10日,1960
2022/6/30,商品仕入高（5211）,佐賀県産たまねぎポテトチップほか・・・6月24日,18144
2022/6/30,商品仕入高（5211）,からし漬けの素・・・6月17日,8586
2022/6/30,商品仕入高（5211）,天ぷら・ちくわほか,18316
2022/6/30,商品仕入高（5211）,ジャージーミックスほか,644889
2022/6/30,商品仕入高（5211）,ミルン牛乳・ヨーグルトほか,41294
2022/6/30,商品仕入高（5211）,明太マヨネーズほか・・・6月17日,26611
2022/6/30,商品仕入高（5211）,博多しょうが湯ほか,967330
2022/6/30,商品仕入高（5211）,野菜等袋代・・・アサヒ,3520
2022/6/30,商品仕入高（5211）,クロネコヤマト宅急便他運賃料,18788
2022/6/30,商品仕入高（5211）,ヤマト運輸振込手数料,330
2022/6/30,商品仕入高（5211）,ソフトクリーム用スプーン・カップ,20680
2022/6/30,商品仕入高（5211）,バーコードラベル代,74800
2022/6/30,商品仕入高（5211）,アルミ保温保冷バッグ,1430
2022/6/30,商品仕入高（5211）,チオビタドリンクほか,119548
2022/6/30,販売員給与（6111）,パート（１０名）,787628
2022/6/30,容器包装費（6114）,タイミーパックマチ付き代,10230
2022/6/30,従業員給与（6212）,従業員給与（２名）,351700
2022/6/30,従業員賞与（6213）,従業員賞与（１名）,0
2022/6/30,販売員賞与（6213）,パート賞与（９名）,0
2022/6/30,法定福利費（6312）,唐津社会保険事務所社会保険料,133760
2022/6/30,法定福利費（6312）,労働・労災保険料,169930
2022/6/30,厚生費（6226）,生活習慣病予防健診代,1210
2022/6/30,修繕費（6216）,多目的トイレ手洗い詰まり修理代,13200
2022/6/30,事務用消耗品費（6217）,電子複写機コピー代,1759
2022/6/30,事務用消耗品費（6217）,パソコンウイルスソフトウェア代,16090
2022/6/30,事務用消耗品費（6217）,チューブファイル代,7172
2022/6/30,通信交通費（6218）,ＮＴＴファイナンス通話料,11767
2022/6/30,水道光熱費（6219）,電気料金・・・電灯,116221
2022/6/30,水道光熱費（6219）,電気料金・・・電力,128675
2022/6/30,水道光熱費（6219）,水道料金,57127
2022/6/30,租税公課費（6221）,消費税及び地方消費税（中間申告）,0
2022/6/30,租税公課費（6221）,唐津市固定資産税,41300
2022/6/30,租税公課費（6221）,役員変更登記印紙代,10000
2022/6/30,地代家賃（6215）,風のふるさと館年間施設使用料,600000
2022/6/30,備品・消耗品費（6225）,トイレットペーパー代・・・6月10日,6600
2022/6/30,備品・消耗品費（6225）,トイレットペーパー代・・・6月17日,6600
2022/6/30,備品・消耗品費（6225）,トイレットペーパー代・・・6月30日,6600
2022/6/30,備品・消耗品費（6225）,無停電電源装置交換用バッテリー代,36980
2022/6/30,備品・消耗品費（6225）,ペーパータオル代,2690
2022/6/30,備品・消耗品費（6225）,歩道飾り用花苗代,3360
2022/6/30,備品・消耗品費（6225）,割箸代,1395
2022/6/30,備品・消耗品費（6225）,シソ入れ袋代,440
2022/6/30,備品・消耗品費（6225）,ソフト用アルコールスプレー代,9075
2022/6/30,運営管理諸費（6227A）,東芝テックポスレジシステムリース料,46358
2022/6/30,運営管理諸費（6227A）,くすもと税理士事務所顧問報酬,66000
2022/6/30,運営管理諸費（6227A）,産直システムハードウェア保守契約代,128414
2022/6/30,施設管理諸費（6227B）,中央警備保障機械警備料,37400
2022/6/30,施設管理諸費（6227B）,クリーン・リース代,2222
2022/6/30,施設管理諸費（6227B）,塵芥収集運搬料,62800
2022/6/30,施設管理諸費（6227B）,テレビ架台取付代,4400
2022/6/30,車両費（6228）,ガソリン代・・・福地石油・・・6月10日,3000
2022/6/30,車両費（6228）,ガソリン代・・・江頭火薬石油・・・6月17日,3000
2022/6/30,車両費（6228）,ガソリン代・・・福地商事・・・6月20日,2708
2022/6/30,リース料（6234）,ソフトサーバーリース代,15510
2022/6/30,会費（6313）,令和４年度佐賀県食品衛生協会会費（ソフト）,3000
2022/6/30,会費（6313）,令和４年度唐津観光協会会費,20000
2022/6/30,会費（6313）,令和4年度唐津東商工会会費,24000
2022/6/30,雑費(6231),コカ・コーラ振込手数料・・・6月18日分,660
2022/6/30,雑費(6231),振込手数料（やまや）・・・6月17日,220
2022/6/30,雑費(6231),振込手数料（牛津かまぼこ）,220
2022/6/30,雑費(6231),交換バッテリー回収元払運賃代,1795
2022/6/30,雑費(6231),NHK受信料,13650
2022/6/30,受取利息割引料,預金利息,0
2022/6/30,雑収入（7118）,雇用保険料預り（５月分）,2681
2022/6/30,雑収入（7118）,雇用調整助成金,29722
2022/6/30,雑収入（7118）,雇用調整助成金,18576
2022/6/30,雑収入（7118）,法人税還付加算金,1400
2022/7/31,商品売上高（4111）,野菜等,133260
2022/7/31,商品売上高（4111）,温泉たまご,72740
2022/7/31,商品売上高（4111）,あら塩・灘の塩（食塩）,1795
2022/7/31,商品売上高（4111）,コーヒー自動販売機,11800
2022/7/31,商品売上高（4111）,ドリンク類,16350
2022/7/31,商品売上高（4111）,伊藤園お～いお茶・健康ミネラル麦茶ほか,49820
2022/7/31,商品売上高（4111）,黒糖・嬉野茶ドーナツ棒,18490
2022/7/31,商品売上高（4111）,白菜浅漬け・なす・きゅうりからし漬けの素,13870
2022/7/31,商品売上高（4111）,佐賀県産たまねぎスープ・海苔スープ・たまねぎチップ・佐賀牛ポテトチップ・黒糖くるみ,41600
2022/7/31,商品売上高（4111）,粉末うどん・ちゃんぽんスープ,1440
2022/7/31,商品売上高（4111）,天ぷら・ちくわほか,14400
2022/7/31,商品売上高（4111）,わさびドレッシング・こいくち醬油・カレー,15445
2022/7/31,商品売上高（4111）,やまや（明太高菜ほか）,16870
2022/7/31,商品売上高（4111）,ミルン（ヨーグルト・チーズ・牛乳・シュークリーム）,18560
2022/7/31,商品売上高（4111）,ソフトクリーム・コーン,958400
2022/7/31,商品売上高（4111）,シンセイ商事（しょうが湯ほか）,9665
2022/7/31,商品売上高（4111）,キムチたけのこほか,15460
2022/7/31,商品売上高（4111）,キムチたけのこほか,1409965
2022/7/31,商品売上高（4111）,野菜袋（アサヒ）,24755
2022/7/31,商品売上高（4111）,中島潔グッズ,5415
2022/7/31,商品売上高（4111）,クロネコヤマト宅急便,14185
2022/7/31,商品売上高（4111）,道の駅切符,1980
2022/7/31,商品売上高（4111）,連絡線記念指定券,1600
2022/7/31,商品売上高（4111）,道の駅スタンプブック,2160
2022/7/31,商品売上高（4111）,指定ごみ袋,28000
2022/7/31,商品売上高（4111）,エスカップ・チオビタ,1400
2022/7/31,商品売上高（4111）,ソフトクリーム用カップ・スプーン,125
2022/7/31,商品売上高（4111）,キティちゃんグッズ,2490
2022/7/31,商品売上高（4111）,佐賀限定鬼滅の刃キーホルダー,440
2022/7/31,商品売上高（4111）,アルミ保温保冷バッグ,1440
2022/7/31,商品売上高（4111）,レジ袋,12290
2022/7/31,商品売上高（4111）,箱,70
2022/7/31,商品売上高（4111）,紙袋,96350
2022/7/31,手数料収入（4112）,風のふるさと館委託販売手数料,1953669
2022/7/31,その他の収入（4114）,バーコードラベル代金,30655
2022/7/31,その他の収入（4114）,コカ・コーラ自販機手数料,83778
2022/7/31,その他の収入（4114）,アルミ缶売却料,6000
2022/7/31,その他の収入（4114）,テナント使用料,45250
2022/7/31,その他の収入（4114）,テナント電気料,41678
2022/7/31,その他の収入（4114）,水難救済会自販機手数料,36000
2022/7/31,商品仕入高（5211）,野菜・・・辻青果,101100
2022/7/31,商品仕入高（5211）,温泉たまご,32076
2022/7/31,商品仕入高（5211）,ドリンク類（トライアル）・・・7月8日,780
2022/7/31,商品仕入高（5211）,ドリンク類（トライアル）・・・7月15日,3872
2022/7/31,商品仕入高（5211）,伊藤園お茶ほか・・・7月4日,16329
2022/7/31,商品仕入高（5211）,伊藤園お茶ほか・・・7月25日,25142
2022/7/31,商品仕入高（5211）,粉末うどんそばスープ・・・7月25日,1335
2022/7/31,商品仕入高（5211）,佐賀県産たまねぎポテトチップほか・・・7月29日,14191
2022/7/31,商品仕入高（5211）,からし漬けの素・・・7月19日,7776
2022/7/31,商品仕入高（5211）,からし漬けの素・・・7月29日,7776
2022/7/31,商品仕入高（5211）,黒糖ドーナツ棒,23263
2022/7/31,商品仕入高（5211）,天ぷら・ちくわほか,13737
2022/7/31,商品仕入高（5211）,わさびドレッシングほか・・・7月15日,16200
2022/7/31,商品仕入高（5211）,ジャージーミックスほか,679006
2022/7/31,商品仕入高（5211）,ミルン牛乳・ヨーグルトほか,12223
2022/7/31,商品仕入高（5211）,キムチたけのこほか,21492
2022/7/31,商品仕入高（5211）,博多しょうが湯ほか,3780
2022/7/31,商品仕入高（5211）,博多しょうが湯ほか,980078
2022/7/31,商品仕入高（5211）,野菜等袋代・・・アサヒ,32494
2022/7/31,商品仕入高（5211）,クロネコヤマト宅急便他運賃料,13717
2022/7/31,商品仕入高（5211）,ヤマト運輸振込手数料,440
2022/7/31,商品仕入高（5211）,ソフトクリーム用スプーン・カップ,20680
2022/7/31,商品仕入高（5211）,指定ごみ袋,61200
2022/7/31,商品仕入高（5211）,紙コップ,178
2022/7/31,商品仕入高（5211）,チオビタドリンクほか,128709
2022/7/31,販売員給与（6111）,パート（１０名）,825536
2022/7/31,広告宣伝費（6113）,九州沖縄道の駅スタンプラリー景品商品券代,6000
2022/7/31,役員報酬（6211）,役員報酬（4月～７月）,320000
2022/7/31,従業員給与（6212）,従業員給与（２名）,351700
2022/7/31,従業員賞与（6213）,従業員賞与（１名）,160000
2022/7/31,販売員賞与（6213）,パート賞与（１０名）,428000
2022/7/31,法定福利費（6312）,唐津社会保険事務所社会保険料,115080
2022/7/31,修繕費（6216）,多目的トイレ暖房便座修理代,16005
2022/7/31,修繕費（6216）,ソフトサーバーパッキンセットほか代,13310
2022/7/31,事務用消耗品費（6217）,電子複写機コピー代,1168
2022/7/31,通信交通費（6218）,ＮＴＴファイナンス通話料,10722
2022/7/31,水道光熱費（6219）,電気料金・・・電灯,151285
2022/7/31,水道光熱費（6219）,電気料金・・・電力,221445
2022/7/31,租税公課費（6221）,消費税及び地方消費税（中間申告）,0
2022/7/31,地代家賃（6215）,風のふるさと館敷地使用料,65533
2022/7/31,接待交際費（6223）,役員会飲み物代,700
2022/7/31,接待交際費（6223）,野菜栽培講習会お茶代,3220
2022/7/31,備品・消耗品費（6225）,トイレットペーパー代・・・7月8日,6600
2022/7/31,備品・消耗品費（6225）,トイレットペーパー代・・・7月29日,6600
2022/7/31,備品・消耗品費（6225）,ペーパータオル代,5380
2022/7/31,備品・消耗品費（6225）,粉末消火器１０型法定分薬剤詰替え代,4950
2022/7/31,運営管理諸費（6227A）,東芝テックポスレジシステムリース料,62640
2022/7/31,運営管理諸費（6227A）,くすもと税理士事務所顧問報酬,55000
2022/7/31,施設管理諸費（6227B）,中央警備保障機械警備料,37400
2022/7/31,施設管理諸費（6227B）,クリーン・リース代,2222
2022/7/31,施設管理諸費（6227B）,塵芥収集運搬料,62800
2022/7/31,施設管理諸費（6227B）,散水用井戸給水管配管工事代,62390
2022/7/31,施設管理諸費（6227B）,エアコン各部点検・冷媒チャージ代,8800
2022/7/31,施設管理諸費（6227B）,消防設備保守点検業務,17050
2022/7/31,施設管理諸費（6227B）,草払い処理業務,24200
2022/7/31,施設管理諸費（6227B）,自動ドア装置保守点検業務,13200
2022/7/31,車両費（6228）,ガソリン代・・・江頭火薬石油・・・7月8日,3000
2022/7/31,車両費（6228）,ガソリン代・・・福地石油・・・7月15日,3000
2022/7/31,車両費（6228）,ガソリン代・・・谷口石油・・・7月29日,3000
2022/7/31,リース料（6234）,ソフトサーバーリース代,15510
2022/7/31,雑費(6231),コカ・コーラ振込手数料・・・7月18日分,660
2022/7/31,雑費(6231),佐賀富士ベンディング振込手数料,660
2022/7/31,雑費(6231),振込手数料（牛津かまぼこ）,220
2022/7/31,雑費(6231),鶴丸チョコレート廃棄分補償代,3690
2022/7/31,雑費(6231),中島区集会所使用料・・・7月8日,3000
2022/7/31,雑費(6231),中島区集会所使用料・・・7月11日,3000
2022/7/31,雑費(6231),いかさし塩辛ビン破損補償代,650
2022/7/31,受取利息割引料,預金利息,0
2022/7/31,雑収入（7118）,雇用保険料預り（６月分）,2779
2022/7/31,雑収入（7118）,雇用保険料預り（賞与分）,1626
2022/7/31,雑収入（7118）,唐津市指定管理者支援金,114442
2022/7/31,雑収入（7118）,唐津市指定管理者支援金,340000
2022/8/31,商品売上高（4111）,野菜等,211090
2022/8/31,商品売上高（4111）,温泉たまご,88460
2022/8/31,商品売上高（4111）,あら塩・灘の塩（食塩）,1615
2022/8/31,商品売上高（4111）,コーヒー自動販売機,3800
2022/8/31,商品売上高（4111）,ドリンク類,19880
2022/8/31,商品売上高（4111）,伊藤園お～いお茶・健康ミネラル麦茶ほか,53560
2022/8/31,商品売上高（4111）,黒糖・嬉野茶ドーナツ棒,20500
2022/8/31,商品売上高（4111）,白菜浅漬け・なす・きゅうりからし漬けの素,7880
2022/8/31,商品売上高（4111）,佐賀県産たまねぎスープ・海苔スープ・たまねぎチップ・佐賀牛ポテトチップ・黒糖くるみ,73640
2022/8/31,商品売上高（4111）,粉末うどん・ちゃんぽんスープ,4870
2022/8/31,商品売上高（4111）,天ぷら・ちくわほか,21580
2022/8/31,商品売上高（4111）,わさびドレッシング・こいくち醬油・カレー,13485
2022/8/31,商品売上高（4111）,やまや（明太高菜ほか）,15740
2022/8/31,商品売上高（4111）,ミルン（ヨーグルト・チーズ・牛乳・シュークリーム）,27540
2022/8/31,商品売上高（4111）,ソフトクリーム・コーン,1025550
2022/8/31,商品売上高（4111）,シンセイ商事（しょうが湯ほか）,4755
2022/8/31,商品売上高（4111）,キムチたけのこほか,8120
2022/8/31,商品売上高（4111）,キムチたけのこほか,1602065
2022/8/31,商品売上高（4111）,野菜袋（アサヒ）,39305
2022/8/31,商品売上高（4111）,中島潔グッズ,5805
2022/8/31,商品売上高（4111）,クロネコヤマト宅急便,19360
2022/8/31,商品売上高（4111）,道の駅切符,5040
2022/8/31,商品売上高（4111）,連絡線記念指定券,2400
2022/8/31,商品売上高（4111）,道の駅スタンプブック,2880
2022/8/31,商品売上高（4111）,指定ごみ袋,41700
2022/8/31,商品売上高（4111）,粗大ごみ処理券,1110
2022/8/31,商品売上高（4111）,エスカップ・チオビタ,2500
2022/8/31,商品売上高（4111）,ソフトクリーム用カップ・スプーン,480
2022/8/31,商品売上高（4111）,キティちゃんグッズ,6470
2022/8/31,商品売上高（4111）,佐賀限定鬼滅の刃キーホルダー,880
2022/8/31,商品売上高（4111）,ローソク・線香・マッチ・のし袋・ライター・紙コップ類,210
2022/8/31,商品売上高（4111）,アルミ保温保冷バッグ,2240
2022/8/31,商品売上高（4111）,レジ袋,13870
2022/8/31,商品売上高（4111）,紙袋,144250
2022/8/31,手数料収入（4112）,風のふるさと館委託販売手数料,2472659
2022/8/31,手数料収入（4112）,7月8日（6月分）委託販売手数料・・・渡辺商店,1431
2022/8/31,その他の収入（4114）,バーコードラベル代金,34636
2022/8/31,その他の収入（4114）,コカ・コーラ自販機手数料,90307
2022/8/31,その他の収入（4114）,テナント使用料,45250
2022/8/31,その他の収入（4114）,テナント電気料,69232
2022/8/31,その他の収入（4114）,テナント水道料,35711
2022/8/31,商品仕入高（5211）,野菜・・・辻青果,158340
2022/8/31,商品仕入高（5211）,温泉たまご,35640
2022/8/31,商品仕入高（5211）,ドリンク類（トライアル）・・・8月5日,4346
2022/8/31,商品仕入高（5211）,ドリンク類（トライアル）・・・8月19日,2240
2022/8/31,商品仕入高（5211）,ドリンク類（トライアル）・・・8月19日,3847
2022/8/31,商品仕入高（5211）,ドリンク類（トライアル）・・・8月29日,3077
2022/8/31,商品仕入高（5211）,伊藤園お茶ほか・・・8月22日,26827
2022/8/31,商品仕入高（5211）,粉末うどんそばスープ・・・8月19日,3859
2022/8/31,商品仕入高（5211）,佐賀県産たまねぎポテトチップほか・・・8月12日,21751
2022/8/31,商品仕入高（5211）,佐賀県産たまねぎポテトチップほか・・・8月19日,29311
2022/8/31,商品仕入高（5211）,黒糖ドーナツ棒,15379
2022/8/31,商品仕入高（5211）,天ぷら・ちくわほか,20606
2022/8/31,商品仕入高（5211）,唐津くんちカレー・・・8月22日,6000
